nombre,poblacion,superficie,continente
Argentina,45376763,2780400,America
Brasil,213993437,8515767,America
Chile,19603733,756102,America
Estados Unidos,331893745,9833517,America
Canada,38005238,9984670,America
Alemania,83149300,357022,Europa
Francia,68042591,551695,Europa
España,47351567,505990,Europa
Italia,58983122,301340,Europa
Japon,125800000,377975,Asia
China,1412600000,9596961,Asia
India,1407563842,3287263,Asia
Australia,25687041,7692024,Oceania
Egipto,109262178,1002450,Africa
Sudafrica,59392255,1221037,Africa
Peru,34360000,1285216,America
